roleid,email,firstname,lastname,telephone1,telephone2,clg_id,dept,roll_no,createdondate,is_active
4,ddgandhi.96@gmail.com,Dhiraj,gandhi,8655022884,8655022884,15616,1,BT13CSE033,11/06/2016,1
4,ddgandhi.96@gmail.com,Sneha,gandhi,8655022884,8655022884,15617,1,BT13CSE034,11/07/2016,1
4,ddgandhi.96@gmail.com,Shruti ,gandhi,8655022884,8655022884,15618,1,BT13CSE035,11/08/2016,1
4,ddgandhi.96@gmail.com,Divya,gandhi,8655022884,8655022884,15619,1,BT13CSE036,11/09/2016,1
4,ddgandhi.96@gmail.com,Rekha,gandhi,8655022884,8655022884,15620,1,BT13CSE037,11/10/2016,1
4,ddgandhi.96@gmail.com,Paresh,gandhi,8655022884,8655022884,15621,1,BT13CSE038,11/11/2016,1
4,ddgandhi.96@gmail.com,Prakash,gandhi,8655022884,8655022884,15622,1,BT13CSE039,11/12/2016,1
4,ddgandhi.96@gmail.com,Chhaya,gandhi,8655022884,8655022884,15623,1,BT13CSE040,11/13/2016,1
4,ddgandhi.96@gmail.com,Shivani,gandhi,8655022884,8655022884,15624,1,BT13CSE041,11/14/2016,1
4,ddgandhi.96@gmail.com,Rhea,gandhi,8655022884,8655022884,15625,1,BT13CSE042,11/15/2016,1
